-----------epoch0-----------
loss:0.13629891 acc:0.4
loss:0.13593087 acc:0.45
loss:0.15084071 acc:0.30434782608695654
loss:0.12734547 acc:0.43478260869565216
loss:0.13470984 acc:0.4
loss:0.10874293 acc:0.5
loss:0.15868087 acc:0.2727272727272727
loss:0.1446018 acc:0.45
--------------------val_loss:0.13004896 val_acc:0.3953488372093023
loss:0.14118561 acc:0.38095238095238093
loss:0.09033233 acc:0.5
loss:0.13064371 acc:0.5454545454545454
loss:0.13561666 acc:0.34782608695652173
loss:0.16902897 acc:0.25
loss:0.14568582 acc:0.34782608695652173
loss:0.1392329 acc:0.34782608695652173
loss:0.13509241 acc:0.4090909090909091
loss:0.17200264 acc:0.3181818181818182
loss:0.13681963 acc:0.38095238095238093
--------------------val_loss:0.12808296 val_acc:0.39080459770114945
loss:0.09678727 acc:0.42857142857142855
loss:0.10110358 acc:0.4444444444444444
loss:0.1298383 acc:0.45
loss:0.16227286 acc:0.36
loss:0.14201283 acc:0.375
loss:0.15746172 acc:0.4090909090909091
loss:0.16985342 acc:0.2962962962962963
loss:0.11040978 acc:0.55
loss:0.107969806 acc:0.47368421052631576
loss:0.20702395 acc:0.16
--------------------val_loss:0.12398038 val_acc:0.375
loss:0.14280115 acc:0.391304347826087
loss:0.12006365 acc:0.45
loss:0.17177638 acc:0.38461538461538464
loss:0.17308891 acc:0.3076923076923077
loss:0.14724913 acc:0.4090909090909091
loss:0.13325353 acc:0.3333333333333333
loss:0.17441024 acc:0.35714285714285715
loss:0.13260165 acc:0.35
loss:0.12038376 acc:0.38095238095238093
loss:0.18037567 acc:0.20833333333333334
--------------------val_loss:0.124838494 val_acc:0.37209302325581395
loss:0.13598275 acc:0.391304347826087
loss:0.12671475 acc:0.391304347826087
loss:0.117464185 acc:0.42105263157894735
loss:0.15503438 acc:0.32
loss:0.1464014 acc:0.34782608695652173
loss:0.10842694 acc:0.6190476190476191
loss:0.12014018 acc:0.3181818181818182
loss:0.1798365 acc:0.2692307692307692
loss:0.15820743 acc:0.32
loss:0.1296033 acc:0.4782608695652174
--------------------val_loss:0.12248713 val_acc:0.3953488372093023
loss:0.1272798 acc:0.42857142857142855
loss:0.09012763 acc:0.5454545454545454
loss:0.1487202 acc:0.4
loss:0.15990251 acc:0.2608695652173913
loss:0.17175597 acc:0.2692307692307692
loss:0.15934135 acc:0.3333333333333333
loss:0.17305763 acc:0.28
loss:0.11663755 acc:0.45454545454545453
loss:0.12521231 acc:0.4090909090909091
loss:0.14223655 acc:0.30434782608695654
--------------------val_loss:0.122792825 val_acc:0.38202247191011235
loss:0.10713066 acc:0.4
loss:0.09567313 acc:0.5263157894736842
loss:0.17148906 acc:0.36
loss:0.16388415 acc:0.25
loss:0.13237055 acc:0.5
loss:0.12107305 acc:0.38095238095238093
loss:0.11238457 acc:0.4090909090909091
loss:0.12634024 acc:0.4
loss:0.122895956 acc:0.55
loss:0.13376832 acc:0.4166666666666667
--------------------val_loss:0.12022237 val_acc:0.42528735632183906
loss:0.13937756 acc:0.3
loss:0.1771975 acc:0.3103448275862069
loss:0.12838054 acc:0.36
loss:0.08058955 acc:0.55
loss:0.12131877 acc:0.5
loss:0.1464974 acc:0.4166666666666667
loss:0.08504979 acc:0.55
loss:0.12108171 acc:0.4090909090909091
loss:0.12740554 acc:0.45454545454545453
loss:0.1657429 acc:0.36666666666666664
--------------------val_loss:0.115046784 val_acc:0.42696629213483145
loss:0.15319642 acc:0.34782608695652173
loss:0.077889614 acc:0.5555555555555556
loss:0.094255954 acc:0.5238095238095238
