-----------epoch0-----------
loss:0.43918186 acc:0.2
loss:0.44273525 acc:0.3
loss:0.46549016 acc:0.125
loss:0.4189785 acc:0.2727272727272727
loss:0.45365816 acc:0.12
loss:0.40956083 acc:0.2916666666666667
loss:0.39810234 acc:0.35
loss:0.39514267 acc:0.375
loss:0.38299295 acc:0.38095238095238093
--------------------val_loss:0.41518974 val_acc:0.10227272727272728
loss:0.40480977 acc:0.2631578947368421
loss:0.4012043 acc:0.22727272727272727
loss:0.4355246 acc:0.30434782608695654
loss:0.40019196 acc:0.15
loss:0.40219632 acc:0.3333333333333333
loss:0.40179634 acc:0.35
loss:0.4095241 acc:0.19047619047619047
loss:0.42603907 acc:0.19047619047619047
loss:0.3914103 acc:0.09523809523809523
loss:0.45652992 acc:0.22727272727272727
--------------------val_loss:0.39137638 val_acc:0.20689655172413793
loss:0.4202973 acc:0.09090909090909091
loss:0.43166995 acc:0.11538461538461539
loss:0.48739237 acc:0.2
loss:0.435983 acc:0.16
loss:0.46030623 acc:0.16666666666666666
loss:0.44595122 acc:0.08695652173913043
loss:0.37945107 acc:0.3
loss:0.38042372 acc:0.21052631578947367
loss:0.3982088 acc:0.09090909090909091
loss:0.39376256 acc:0.3
--------------------val_loss:0.42988858 val_acc:0.18181818181818182
loss:0.48683652 acc:0.13043478260869565
loss:0.41528565 acc:0.04
loss:0.43354434 acc:0.13636363636363635
loss:0.4395689 acc:0.2
loss:0.38553345 acc:0.2222222222222222
loss:0.38437074 acc:0.2857142857142857
loss:0.41750655 acc:0.16666666666666666
loss:0.42547813 acc:0.22727272727272727
loss:0.44497594 acc:0.15
loss:0.4007705 acc:0.21739130434782608
--------------------val_loss:0.43258268 val_acc:0.13636363636363635
loss:0.42486396 acc:0.391304347826087
loss:0.44194204 acc:0.09090909090909091
loss:0.4604753 acc:0.14285714285714285
loss:0.4350566 acc:0.20833333333333334
loss:0.5177733 acc:0.19230769230769232
loss:0.457057 acc:0.23809523809523808
loss:0.40210634 acc:0.25
loss:0.44708037 acc:0.19230769230769232
loss:0.43225154 acc:0.15789473684210525
loss:0.4107283 acc:0.14814814814814814
--------------------val_loss:0.40701208 val_acc:0.2413793103448276
loss:0.45503855 acc:0.13793103448275862
loss:0.40337896 acc:0.125
loss:0.40727863 acc:0.16666666666666666
loss:0.44028983 acc:0.19047619047619047
loss:0.40855193 acc:0.42857142857142855
loss:0.4161531 acc:0.17647058823529413
loss:0.46411094 acc:0.1935483870967742
loss:0.38802233 acc:0.25
loss:0.38368168 acc:0.44
loss:0.42432937 acc:0.2857142857142857
--------------------val_loss:0.4171928 val_acc:0.26373626373626374
loss:0.42257404 acc:0.23809523809523808
loss:0.4408528 acc:0.16666666666666666
loss:0.3883089 acc:0.23809523809523808
loss:0.4369588 acc:0.2916666666666667
loss:0.446379 acc:0.38095238095238093
loss:0.4327448 acc:0.1111111111111111
loss:0.3966641 acc:0.23529411764705882
loss:0.39577252 acc:0.13636363636363635
loss:0.4615348 acc:0.037037037037037035
loss:0.44259605 acc:0.09523809523809523
--------------------val_loss:0.42165494 val_acc:0.23529411764705882
loss:0.41604528 acc:0.35
loss:0.46013823 acc:0.15625
loss:0.3949252 acc:0.21052631578947367
loss:0.40695724 acc:0.19047619047619047
loss:0.42478323 acc:0.11538461538461539
loss:0.41639385 acc:0.20833333333333334
loss:0.40269265 acc:0.12
loss:0.4439393 acc:0.07692307692307693
loss:0.39367947 acc:0.25
loss:0.4237532 acc:0.2962962962962963
--------------------val_loss:0.42581233 val_acc:0.2
loss:0.39283338 acc:0.14285714285714285
loss:0.4416588 acc:0.16666666666666666
loss:0.39277095 acc:0.1
loss:0.42755908 acc:0.3
loss:0.41762733 acc:0.20833333333333334
loss:0.39508516 acc:0.2
loss:0.44885787 acc:0.10344827586206896
loss:0.40912694 acc:0.3076923076923077
loss:0.39521843 acc:0.10526315789473684
loss:0.41575485 acc:0.30434782608695654
--------------------val_loss:0.41478023 val_acc:0.23595505617977527
loss:0.38266093 acc:0.30434782608695654
loss:0.4198092 acc:0.2692307692307692
loss:0.40342683 acc:0.2916666666666667
loss:0.3979334 acc:0.23809523809523808
loss:0.4284904 acc:0.2857142857142857
loss:0.39852744 acc:0.15
loss:0.38978046 acc:0.08695652173913043
loss:0.42922726 acc:0.2
loss:0.40261823 acc:0.2857142857142857
loss:0.387285 acc:0.21739130434782608
--------------------val_loss:0.41467547 val_acc:0.20689655172413793
loss:0.37430257 acc:0.3157894736842105
loss:0.41860318 acc:0.17391304347826086
loss:0.4371776 acc:0.15
loss:0.3754329 acc:0.21052631578947367
loss:0.46955293 acc:0.2
loss:0.38035363 acc:0.23809523809523808
loss:0.43373418 acc:0.2222222222222222
loss:0.39997372 acc:0.16666666666666666
loss:0.43820038 acc:0.2
loss:0.4106441 acc:0.30434782608695654
--------------------val_loss:0.41669983 val_acc:0.2413793103448276
loss:0.45154127 acc:0.21739130434782608
loss:0.42141542 acc:0.17391304347826086
loss:0.426279 acc:0.2222222222222222
loss:0.4028252 acc:0.18181818181818182
loss:0.3836308 acc:0.125
loss:0.41435772 acc:0.2857142857142857
loss:0.37923434 acc:0.2631578947368421
loss:0.37698346 acc:0.2727272727272727
